sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,URLBasedAuthDB.java,221,0,153,34,0,7,1220
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XASecureAuthorizer.java,29,0,22,4,0,2,147
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,URLBasedAuthDB.java,453,0,356,100,0,11,2184
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XASecureAuthorizer.java,65,0,37,5,0,3,239
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XASecurePDPKnoxDeploymentContributor.java,73,0,42,7,0,5,354
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XASecurePDPKnoxFilter.java,211,0,160,26,0,9,1200
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,Policy.java,306,0,225,62,0,44,1194
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,PolicyContainer.java,36,0,29,6,0,6,143
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,ResourcePath.java,24,0,17,5,0,3,82
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,RolePermission.java,52,0,38,9,0,9,220
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureUtils.java,48,0,24,5,0,1,137
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,org.apache.hadoop.gateway.deploy.ProviderDeploymentContributor,18,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,21,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,PasswordGenerator.java,131,0,88,25,0,6,602
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XmlConfigChanger.java,452,0,364,70,0,13,2693
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,72,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,CredentialReader.java,62,0,49,10,0,1,342
