sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
b15a68bd89428630ac1775812082a7c4a034c3b7,t_field.h,3,0,16,6,5,1,122
b15a68bd89428630ac1775812082a7c4a034c3b7,t_function.h,1,20,16,5,7,2,101
b15a68bd89428630ac1775812082a7c4a034c3b7,t_struct.h,2,0,16,7,6,1,114
b15a68bd89428630ac1775812082a7c4a034c3b7,thrift.l,0,1,,,0,0,
b15a68bd89428630ac1775812082a7c4a034c3b7,thrift.y,1,1,,,0,0,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,Makefile,11,5,,,0,0,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TDispatcher.h,0,22,,,2,2,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TProcessor.h,24,0,10,3,0,3,57
8d7e1f62a85d91b159887eb406a5855bcbd6245e,Thrift.h,2,1,6,0,0,0,12
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TClient.h,0,16,,,2,2,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSimpleClient.cc,0,44,,,4,4,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSimpleClient.h,0,21,,,1,1,
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TBinaryProtocol.cc,207,101,209,34,16,49,1256
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TBinaryProtocol.h,108,23,73,2,2,0,470
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TProtocol.h,221,46,186,18,4,3,1046
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TServer.h,4,4,16,2,2,2,67
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSimpleServer.cc,36,42,33,8,1,1,157
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSimpleServer.h,2,2,13,2,2,2,58
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TBufferedTransport.cc,60,0,46,10,0,3,271
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TBufferedTransport.h,75,0,51,7,0,7,294
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TNullTransport.h,24,0,9,5,0,5,49
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TServerSocket.cc,12,12,71,13,5,3,440
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TServerSocket.h,5,2,15,0,0,0,54
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TServerTransport.h,40,3,18,5,2,2,80
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSocket.cc,107,63,142,37,9,8,795
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TSocket.h,70,9,21,0,0,0,109
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TTransport.h,79,7,29,10,2,9,156
8d7e1f62a85d91b159887eb406a5855bcbd6245e,TTransportException.h,63,0,23,7,0,7,134
83c52a8d7ab0be9215a70351b2a4d27938092d72,build.xml,32,0,,,0,0,
83c52a8d7ab0be9215a70351b2a4d27938092d72,TException.java,24,0,15,4,0,4,68
83c52a8d7ab0be9215a70351b2a4d27938092d72,TProcessor.java,14,0,6,0,0,0,36
83c52a8d7ab0be9215a70351b2a4d27938092d72,TBinaryProtocol.java,236,0,192,34,0,33,1249
83c52a8d7ab0be9215a70351b2a4d27938092d72,TField.java,26,0,16,3,0,3,107
83c52a8d7ab0be9215a70351b2a4d27938092d72,TList.java,24,0,14,3,0,3,89
83c52a8d7ab0be9215a70351b2a4d27938092d72,TMap.java,26,0,16,3,0,3,110
83c52a8d7ab0be9215a70351b2a4d27938092d72,TProtocol.java,109,0,61,0,0,0,441
83c52a8d7ab0be9215a70351b2a4d27938092d72,TProtocolUtil.java,104,0,95,16,0,1,566
83c52a8d7ab0be9215a70351b2a4d27938092d72,TSet.java,24,0,14,3,0,3,89
83c52a8d7ab0be9215a70351b2a4d27938092d72,TString.java,17,0,8,2,0,2,38
83c52a8d7ab0be9215a70351b2a4d27938092d72,TStruct.java,18,0,9,2,0,2,49
83c52a8d7ab0be9215a70351b2a4d27938092d72,TType.java,82,0,57,16,0,3,241
83c52a8d7ab0be9215a70351b2a4d27938092d72,TServer.java,38,0,14,2,0,2,70
83c52a8d7ab0be9215a70351b2a4d27938092d72,TSimpleServer.java,50,0,38,8,0,2,202
83c52a8d7ab0be9215a70351b2a4d27938092d72,TIOStreamTransport.java,138,0,73,20,0,10,382
83c52a8d7ab0be9215a70351b2a4d27938092d72,TServerSocket.java,46,0,33,8,0,4,169
83c52a8d7ab0be9215a70351b2a4d27938092d72,TServerTransport.java,23,0,13,2,0,1,75
83c52a8d7ab0be9215a70351b2a4d27938092d72,TSocket.java,126,0,74,17,0,6,399
83c52a8d7ab0be9215a70351b2a4d27938092d72,TTransport.java,84,0,26,4,0,2,160
