name,star,commit,contributor,time,language
ambari,1985,24864,146,"4356 days, 23:28:53","{'Java': 44.6380193356684, 'JavaScript': 24.383266840112007, 'Python': 14.656337041393849, 'HTML': 6.198187698404454, 'PowerShell': 3.406297472161933, 'Handlebars': 2.6534898199490575, 'CSS': 1.0260237377464922, 'Shell': 0.6678837217012207, 'Less': 0.5042970730345968, 'PLpgSQL': 0.49611790694590857, 'Jinja': 0.4686560698586285, 'C#': 0.30407634367422015, 'PHP': 0.24893143112467625, 'C': 0.18214572046883973, 'TSQL': 0.07044861969128331, 'Batchfile': 0.04083760981844597, 'Ruby': 0.01573453976670796, 'Dockerfile': 0.014076083677543372, 'Vim Script': 0.009669614088579487, 'CoffeeScript': 0.0071910789101890795, 'Makefile': 0.004003915553278999, 'R': 0.002423641446251559, 'sed': 0.0018846848034337793}"
tapestry-5,108,5732,34,"4119 days, 3:54:53","{'Java': 51.70045857558323, 'JavaScript': 37.23534931497596, 'Roff': 4.929590203742931, 'Groovy': 3.6045994029610147, 'Less': 1.1634577977426825, 'CoffeeScript': 0.8632095161703592, 'CSS': 0.29701395785281204, 'HTML': 0.16562027230601442, 'GAP': 0.03309886680745802, 'Shell': 0.004682613809840999, 'TypeScript': 0.00235848030520109, 'Clojure': 0.0005609977424992884}"
causeway,793,23406,43,"3930 days, 23:08:34","{'Java': 85.61663852963011, 'Rich Text Format': 10.487927375284348, 'JavaScript': 1.3113749523497469, 'HTML': 1.2936924841268638, 'CSS': 0.6997107750943654, 'Shell': 0.473125501098766, 'Groovy': 0.07600145263475847, 'Clean': 0.03931984039743713, 'Gherkin': 0.002009149726372826, 'Handlebars': 0.00019993965723613075}"
echarts,56249,9141,207,"3804 days, 5:42:13","{'TypeScript': 88.74143711670165, 'JavaScript': 11.14218147010232, 'Smarty': 0.06604960861144087, 'HTML': 0.048503140404182674, 'Shell': 0.0018286641804090417}"
cloudstack,1506,36137,214,"3782 days, 8:29:23","{'Java': 67.1016580186988, 'Python': 20.926570815491907, 'Vue': 4.874852838739882, 'C#': 3.4585760272444936, 'JavaScript': 1.7459297769695463, 'Shell': 1.224292145256503, 'Groovy': 0.21495947372836194, 'Less': 0.15005256008300405, 'XSLT': 0.08511335371053343, 'HTML': 0.07914800630207248, 'CSS': 0.07152105129853827, 'Ruby': 0.033374533471007994, 'Batchfile': 0.014646219596856127, 'FreeMarker': 0.0071733889727235815, 'Dockerfile': 0.006574505669905651, 'Roff': 0.0020902201549331655, 'Makefile': 0.001953709990320255, 'SCSS': 0.0015133546206011893}"
commons-daemon,87,1538,25,"3703 days, 10:55:35","{'C': 76.90676038178144, 'Java': 14.39126829412089, 'HTML': 2.513210729560377, 'Makefile': 2.168828189383482, 'Shell': 1.7489557660044321, 'M4': 1.4416132534089001, 'Batchfile': 0.49062015772130774, 'CSS': 0.3387432280191788}"
storm,6477,10667,278,"3588 days, 1:28:09","{'Java': 83.6033633958214, 'Python': 7.457654700875461, 'HTML': 4.249051597066517, 'Clojure': 1.8609251919197132, 'C': 1.7670731503675965, 'JavaScript': 0.45719473114541576, 'Thrift': 0.198779789871254, 'Shell': 0.17203778734825173, 'CSS': 0.076491599859732, 'Ruby': 0.050113929796171165, 'Fancy': 0.037854142535966445, 'PowerShell': 0.021362026538583566, 'FreeMarker': 0.02132559329263942, 'M4': 0.009241900054498065, 'Makefile': 0.009241900054498065, 'XSLT': 0.008288563452292941}"
helix,431,4516,58,"3523 days, 17:16:50","{'Java': 77.645424004716, 'HTML': 17.66158780985046, 'TypeScript': 1.345655618003872, 'Python': 1.2908923894184716, 'Shell': 0.9436538852305639, 'JavaScript': 0.7247265746242494, 'CSS': 0.2875627739557026, 'SCSS': 0.06936117381993895, 'NASL': 0.017598478910853727, 'C++': 0.013537291469887481}"
airavata,89,10105,46,"3494 days, 8:28:02","{'Java': 75.38971862999341, 'C++': 16.772322999574254, 'PHP': 2.3602451221037644, 'Python': 1.3054682705342011, 'Blade': 1.2853408023208932, 'Thrift': 0.9559634431723378, 'JavaScript': 0.8111604453574052, 'Jinja': 0.472360437347351, 'Shell': 0.3078433157964247, 'HTML': 0.1844439371053438, 'CSS': 0.06907467782306151, 'C': 0.05874708546996645, 'Dockerfile': 0.014820205385653807, 'XSLT': 0.006553315839364383, 'Batchfile': 0.0059373121765704875}"
qpid-dispatch,64,3481,26,"3464 days, 6:49:21","{'Python': 40.44875457401871, 'C': 36.924829862134956, 'JavaScript': 11.535112392867068, 'C++': 8.834648506897965, 'CMake': 0.8604095813526921, 'CSS': 0.7717922644198724, 'Shell': 0.5358040823661907, 'Dockerfile': 0.05220268466012408, 'HTML': 0.036446051282421864}"
